Partner ISO,Commodity Code,Trade Value
AGO,97,495121
AGO,99,485465672
AIA,01,11063
AIA,02,1734746
AIA,03,607598
AIA,04,518570
AIA,06,426760
AIA,07,19252
AIA,08,22148
AIA,09,43392
AIA,10,215373
AIA,11,406675
AIA,12,13050
AIA,14,3214
AIA,15,219160
AIA,16,248128
AIA,17,172415
AIA,18,75653
AIA,19,289548
AIA,20,692507
AIA,21,1599527
AIA,22,3668976
AIA,23,377789
AIA,25,643495
AIA,27,976554
AIA,28,41998
AIA,29,61967
AIA,30,1039463
AIA,31,55564
AIA,32,675545
AIA,33,1261993
AIA,34,539540
AIA,35,40880
AIA,36,9360
AIA,38,723941
AIA,39,1005624
AIA,40,545901
AIA,42,148963
AIA,44,3032976
AIA,46,1480
AIA,47,44349
AIA,48,237678
AIA,49,295819
AIA,51,6172
AIA,52,67779
AIA,54,1438
AIA,55,20704
AIA,56,15922
AIA,57,191583
AIA,58,3606
AIA,59,11049
AIA,60,7666
AIA,61,183536
AIA,62,481349
AIA,63,412317
AIA,64,141732
AIA,65,2387
AIA,66,298513
AIA,67,5568
AIA,68,523967
AIA,69,512485
AIA,70,615793
AIA,71,463480
AIA,72,719397
AIA,73,1078691
AIA,74,414063
AIA,76,1133776
AIA,78,5351
AIA,79,17988
AIA,81,96697
AIA,82,57238
AIA,83,455132
AIA,84,5032100
AIA,85,7537953
AIA,86,115032
AIA,87,5208877
AIA,88,347708
AIA,89,1201173
AIA,90,2206425
AIA,91,27763
AIA,92,54748
AIA,94,2955341
AIA,95,541545
AIA,96,248184
AIA,97,115896
AIA,99,6624352
ALB,01,20823440
ALB,02,53374555
ALB,03,47785001
ALB,04,21383229
ALB,05,4125246
ALB,06,5378873
ALB,07,11186164
ALB,08,34312712
ALB,09,28788890
ALB,10,59372760
ALB,11,14110189
ALB,12,6980461
ALB,13,882011
ALB,14,59094
ALB,15,42233498
ALB,16,17568086
ALB,17,29883857
ALB,18,16509436
ALB,19,53817233
ALB,20,24615844
ALB,21,41314325
ALB,22,73471198
ALB,23,22707968
ALB,24,45797091
ALB,25,16503435
ALB,26,365887
ALB,27,390797713
ALB,28,10034207
ALB,29,10202416
ALB,30,148228783
ALB,31,21020918
ALB,32,27642724
ALB,33,52866783
ALB,34,58251772
ALB,35,8861089
ALB,36,3412679
ALB,37,1819371
ALB,38,39059695
ALB,39,185988269
ALB,40,37045956
ALB,41,126464923
ALB,42,11863224
ALB,43,479305
ALB,44,64709525
ALB,45,185307
ALB,46,145506
ALB,47,1105059
ALB,48,94554783
ALB,49,9386629
ALB,50,555036
ALB,51,6550320
ALB,52,55500732
ALB,53,1807374
ALB,54,33731425
ALB,55,34336737
ALB,56,15289158
ALB,57,8974320
ALB,58,12652091
ALB,59,37211013
ALB,60,45370030
ALB,61,119388673
ALB,62,114188654
ALB,63,28414537
ALB,64,123563050
ALB,65,3510206
ALB,66,4682037
ALB,67,2369276
ALB,68,34737924
ALB,69,63629363
ALB,70,33078495
ALB,71,18713296
ALB,72,109112542
ALB,73,217052008
ALB,74,4979289
ALB,75,183556
ALB,76,56792702
ALB,78,76785
ALB,79,485154
ALB,80,201661
ALB,81,568244
ALB,82,19689035
ALB,83,59093617
ALB,84,395646202
ALB,85,322820303
ALB,86,1281492
ALB,87,225002817
