Partner,Partner ISO,Commodity Code,Trade Value
El Salvador,SLV,30,899205
Equatorial Guinea,GNQ,30,555047
Ethiopia,ETH,30,1378928
Eritrea,ERI,30,38294
Estonia,EST,30,2832190
Faeroe Isds,FRO,30,48333
Falkland Isds (Malvinas),FLK,30,1349591
Fiji,FJI,30,565436
Finland,FIN,30,164159287
France,FRA,30,1285757501
French Polynesia,PYF,30,95888
Fr. South Antarctic Terr.,ATF,30,30314
Djibouti,DJI,30,399200
Gabon,GAB,30,27034
Georgia,GEO,30,8421887
Gambia,GMB,30,858683
State of Palestine,PSE,30,3660
Germany,DEU,30,4654224533
Ghana,GHA,30,16144692
Gibraltar,GIB,30,13315076
Greece,GRC,30,148310531
Grenada,GRD,30,781133
Guam,GUM,30,2983
Guatemala,GTM,30,2806903
Guinea,GIN,30,66468
Guyana,GUY,30,1634711
Haiti,HTI,30,1470526
Holy See (Vatican City State),VAT,30,22023
Honduras,HND,30,848393
"China, Hong Kong SAR",HKG,30,89072460
Hungary,HUN,30,248309229
Iceland,ISL,30,2509183
Indonesia,IDN,30,53064723
Iran,IRN,30,36167912
Iraq,IRQ,30,68103135
Ireland,IRL,30,1032050675
Israel,ISR,30,161280548
Italy,ITA,30,1273360376
Côte d'Ivoire,CIV,30,407692
Jamaica,JAM,30,3323026
Japan,JPN,30,823093162
Kazakhstan,KAZ,30,26532298
Jordan,JOR,30,43051849
Kenya,KEN,30,39143024
Dem. People's Rep. of Korea,PRK,30,40188
Rep. of Korea,KOR,30,235703825
Kuwait,KWT,30,32729512
Kyrgyzstan,KGZ,30,23211
Lao People's Dem. Rep.,LAO,30,669165
Lebanon,LBN,30,70049282
Latvia,LVA,30,2599881
Liberia,LBR,30,945503
Libya,LBY,30,34115535
Lithuania,LTU,30,9478432
Luxembourg,LUX,30,989506
"China, Macao SAR",MAC,30,195754
Madagascar,MDG,30,87803
Malawi,MWI,30,596156
Malaysia,MYS,30,42112096
Maldives,MDV,30,128977
Mali,MLI,30,31588
Malta,MLT,30,34418725
Mauritania,MRT,30,258622
Mauritius,MUS,30,8412172
Mexico,MEX,30,131507305
Mongolia,MNG,30,773463
Rep. of Moldova,MDA,30,705047
Montenegro,MNE,30,149291
Montserrat,MSR,30,24880
Morocco,MAR,30,15966083
Mozambique,MOZ,30,1234798
Oman,OMN,30,14075657
Namibia,NAM,30,587461
Nepal,NPL,30,831044
Netherlands,NLD,30,2998199427
Curaçao,CUW,30,479364
Aruba,ABW,30,49025
Saint Maarten,SXM,30,1018
Bonaire,BES,30,85024
New Caledonia,NCL,30,99509
Vanuatu,VUT,30,103364
New Zealand,NZL,30,61499961
Nicaragua,NIC,30,240042
Niger,NER,30,377312
Nigeria,NGA,30,36997317
Norway,NOR,30,69849578
Marshall Isds,MHL,30,3473
Palau,PLW,30,11464
Pakistan,PAK,30,20639184
Panama,PAN,30,39705149
Papua New Guinea,PNG,30,155312
Paraguay,PRY,30,4590152
Peru,PER,30,23873567
Philippines,PHL,30,40917236
Pitcairn,PCN,30,19947
Poland,POL,30,276407482
Portugal,PRT,30,191684582
Timor-Leste,TLS,30,3683
Qatar,QAT,30,20247934
Romania,ROU,30,73861985
Russian Federation,RUS,30,345491581
Rwanda,RWA,30,145476
Saint Helena,SHN,30,536133
Saint Kitts and Nevis,KNA,30,856652
Anguilla,AIA,30,151111
Saint Lucia,LCA,30,1040825
Saint Vincent and the Grenadines,VCT,30,874461
San Marino,SMR,30,11248
Saudi Arabia,SAU,30,273449402
Senegal,SEN,30,105478
Serbia,SRB,30,14387940
Seychelles,SYC,30,841709
Sierra Leone,SLE,30,2680886
India,IND,30,155228163
Singapore,SGP,30,127423070
Slovakia,SVK,30,35029586
Viet Nam,VNM,30,77622436
Slovenia,SVN,30,22853609
Somalia,SOM,30,917381
South Africa,ZAF,30,173219849
Zimbabwe,ZWE,30,890981
Spain,ESP,30,1292602284
South Sudan,SSD,30,83808
Sudan,SDN,30,11769578
Suriname,SUR,30,32557
Swaziland,SWZ,30,54067
Sweden,SWE,30,319304058
Switzerland,CHE,30,675555498
Syria,SYR,30,1611226
Tajikistan,TJK,30,63225
Thailand,THA,30,79355767
Togo,TGO,30,225384
Trinidad and Tobago,TTO,30,4630537
United Arab Emirates,ARE,30,268092596
Tunisia,TUN,30,15770189
Turkey,TUR,30,257023842
Turkmenistan,TKM,30,16277
Turks and Caicos Isds,TCA,30,1219819
Uganda,UGA,30,7468479
Ukraine,UKR,30,86299072
TFYR of Macedonia,MKD,30,1213763
Egypt,EGY,30,153385341
United Rep. of Tanzania,TZA,30,1710826
USA,USA,30,8859980758
Burkina Faso,BFA,30,40011
Uruguay,URY,30,24483726
Uzbekistan,UZB,30,117283
Venezuela,VEN,30,58773709
Samoa,WSM,30,25722
Yemen,YEM,30,6180746
Zambia,ZMB,30,1184865
Albania,ALB,31,36045
Algeria,DZA,31,429515
Argentina,ARG,31,327555
Australia,AUS,31,773710
Austria,AUT,31,2045104
Bahrain,BHR,31,7672
Bangladesh,BGD,31,2379258
Barbados,BRB,31,90512
Belgium,BEL,31,4401216
Bolivia (Plurinational State of),BOL,31,13478
Brazil,BRA,31,39803343
Br. Virgin Isds,VGB,31,6561
Bulgaria,BGR,31,1582422
Myanmar,MMR,31,53179
Belarus,BLR,31,1197
Cambodia,KHM,31,318177
Cameroon,CMR,31,61277
Canada,CAN,31,2759178
Sri Lanka,LKA,31,485688
Chile,CHL,31,317965
China,CHN,31,5447223
Colombia,COL,31,812563
Costa Rica,CRI,31,42869
Croatia,HRV,31,110415
Cyprus,CYP,31,8438
Czechia,CZE,31,1163141
Denmark,DNK,31,2878398
Ecuador,ECU,31,149678
Equatorial Guinea,GNQ,31,2387
Estonia,EST,31,434178
Finland,FIN,31,1269873
France,FRA,31,7217907
Germany,DEU,31,8560109
Ghana,GHA,31,88030
Gibraltar,GIB,31,1157
Greece,GRC,31,394778
Guam,GUM,31,35360
Guatemala,GTM,31,29534
Guyana,GUY,31,1757913
"China, Hong Kong SAR",HKG,31,161685
Hungary,HUN,31,2109659
Iceland,ISL,31,3111725
Indonesia,IDN,31,14241
Iran,IRN,31,356127
Ireland,IRL,31,34097965
Israel,ISR,31,588875
Italy,ITA,31,1999986
Côte d'Ivoire,CIV,31,54745
Jamaica,JAM,31,40667
Japan,JPN,31,110211
Jordan,JOR,31,3379
Kenya,KEN,31,522571
Rep. of Korea,KOR,31,651752
Kuwait,KWT,31,98711
Lebanon,LBN,31,330098
Latvia,LVA,31,56537
Lithuania,LTU,31,2413264
Luxembourg,LUX,31,90883
Malaysia,MYS,31,227529
Malta,MLT,31,15767
Mauritius,MUS,31,49971
Mexico,MEX,31,781300
Mongolia,MNG,31,62673
Morocco,MAR,31,263894
Oman,OMN,31,12487
Namibia,NAM,31,125122
Netherlands,NLD,31,34045000
New Zealand,NZL,31,903767
Nigeria,NGA,31,94860
Norway,NOR,31,447943
Pakistan,PAK,31,109436
Paraguay,PRY,31,181419
Peru,PER,31,217575
Philippines,PHL,31,232364
Poland,POL,31,6320438
Portugal,PRT,31,339604
Qatar,QAT,31,177122
Romania,ROU,31,407944
Russian Federation,RUS,31,582868
Saudi Arabia,SAU,31,596931
Senegal,SEN,31,136873
Serbia,SRB,31,53367
India,IND,31,1745107
Singapore,SGP,31,663429
Slovakia,SVK,31,286388
Viet Nam,VNM,31,10345209
Slovenia,SVN,31,145007
South Africa,ZAF,31,1642773
Spain,ESP,31,5832343
Suriname,SUR,31,51038
Sweden,SWE,31,4850592
Switzerland,CHE,31,767305
Thailand,THA,31,1070277
Trinidad and Tobago,TTO,31,238554
United Arab Emirates,ARE,31,714906
Tunisia,TUN,31,48145
Turkey,TUR,31,2576438
Uganda,UGA,31,6006
Ukraine,UKR,31,1512877
TFYR of Macedonia,MKD,31,4244
Egypt,EGY,31,1248934
United Rep. of Tanzania,TZA,31,146652
USA,USA,31,5297435
Uruguay,URY,31,51823
Yemen,YEM,31,1089
Zambia,ZMB,31,12502
Afghanistan,AFG,32,26134
Albania,ALB,32,460723
Algeria,DZA,32,4215465
American Samoa,ASM,32,8518
Andorra,AND,32,18288
Angola,AGO,32,10450036
Antigua and Barbuda,ATG,32,20936
Azerbaijan,AZE,32,1750898
Argentina,ARG,32,2704695
Australia,AUS,32,32534409
Austria,AUT,32,50961275
Bahamas,BHS,32,39605
Bahrain,BHR,32,894733
Bangladesh,BGD,32,2649553
Armenia,ARM,32,92246
Barbados,BRB,32,301883
Belgium,BEL,32,151859865
Bermuda,BMU,32,76452
Bhutan,BTN,32,108401
Bolivia (Plurinational State of),BOL,32,25750
Bosnia Herzegovina,BIH,32,278670
Brazil,BRA,32,23072051
Belize,BLZ,32,156773
Solomon Isds,SLB,32,5303
Br. Virgin Isds,VGB,32,1583
Brunei Darussalam,BRN,32,29248
Bulgaria,BGR,32,5088963
Myanmar,MMR,32,94837
Burundi,BDI,32,114199
Belarus,BLR,32,918363
Cambodia,KHM,32,343426
Cameroon,CMR,32,1477844
Canada,CAN,32,10435938
Cabo Verde,CPV,32,1203
Cayman Isds,CYM,32,17559
Central African Rep.,CAF,32,12170
Sri Lanka,LKA,32,3612799
Chile,CHL,32,3385615
China,CHN,32,83970126
Colombia,COL,32,3168549
Congo,COG,32,470672
Dem. Rep. of the Congo,COD,32,3925175
Costa Rica,CRI,32,173089
Croatia,HRV,32,3813786
Cuba,CUB,32,251468
Cyprus,CYP,32,3484324
Czechia,CZE,32,31341198
Benin,BEN,32,53494
Denmark,DNK,32,27700623
Dominica,DMA,32,19408
Dominican Rep.,DOM,32,4861084
Ecuador,ECU,32,983103
El Salvador,SLV,32,153611
Equatorial Guinea,GNQ,32,75025
Ethiopia,ETH,32,1112450
Eritrea,ERI,32,20981
Estonia,EST,32,3185322
Faeroe Isds,FRO,32,36786
Falkland Isds (Malvinas),FLK,32,565091
Fiji,FJI,32,571600
Finland,FIN,32,19772007
France,FRA,32,203965910
French Polynesia,PYF,32,18948
Djibouti,DJI,32,194947
Gabon,GAB,32,1117589
Georgia,GEO,32,500794
Gambia,GMB,32,122374
State of Palestine,PSE,32,90818
Germany,DEU,32,770673176
Ghana,GHA,32,6941855
Gibraltar,GIB,32,724785
Greece,GRC,32,26476967
Greenland,GRL,32,15906
Grenada,GRD,32,6690
Guam,GUM,32,9694
Guatemala,GTM,32,319423
Guinea,GIN,32,34703
Guyana,GUY,32,236405
Haiti,HTI,32,5721
Honduras,HND,32,399146
"China, Hong Kong SAR",HKG,32,26985214
Hungary,HUN,32,15884694
Iceland,ISL,32,1708493
Indonesia,IDN,32,11136080
Iran,IRN,32,2202784
Iraq,IRQ,32,3917766
Ireland,IRL,32,157469598
Israel,ISR,32,14455855
Italy,ITA,32,166847077
Côte d'Ivoire,CIV,32,1055337
Jamaica,JAM,32,370328
Japan,JPN,32,32045281
Kazakhstan,KAZ,32,2226251
Jordan,JOR,32,6869875
Kenya,KEN,32,4562804
Rep. of Korea,KOR,32,24334549
Kuwait,KWT,32,4141804
Kyrgyzstan,KGZ,32,66231
Lebanon,LBN,32,4048159
Latvia,LVA,32,3610076
Liberia,LBR,32,136672
Libya,LBY,32,633601
Lithuania,LTU,32,3114207
Luxembourg,LUX,32,6418391
"China, Macao SAR",MAC,32,301136
Madagascar,MDG,32,101080
Malawi,MWI,32,42386
Malaysia,MYS,32,14271046
Maldives,MDV,32,510790
Mali,MLI,32,27710
Malta,MLT,32,4905345
Mauritania,MRT,32,194113
Mauritius,MUS,32,1321434
Mexico,MEX,32,12326861
Mongolia,MNG,32,5199
Rep. of Moldova,MDA,32,25379
Montenegro,MNE,32,341649
Montserrat,MSR,32,2703
Morocco,MAR,32,7130425
Mozambique,MOZ,32,56872
Oman,OMN,32,3113103
Namibia,NAM,32,5190
Nepal,NPL,32,83167
Netherlands,NLD,32,199124135
Curaçao,CUW,32,452264
New Caledonia,NCL,32,6883
New Zealand,NZL,32,6543489
Nicaragua,NIC,32,8733
Niger,NER,32,3795
Nigeria,NGA,32,12563433
Niue,NIU,32,1651
Norway,NOR,32,29536762
N. Mariana Isds,MNP,32,49544
FS Micronesia,FSM,32,3073
Pakistan,PAK,32,12335071
Panama,PAN,32,1435659
Papua New Guinea,PNG,32,16562
Paraguay,PRY,32,20136
Peru,PER,32,2389728
Philippines,PHL,32,4093866
Poland,POL,32,123844460
Portugal,PRT,32,15882612
Guinea-Bissau,GNB,32,26350
Timor-Leste,TLS,32,1060
Qatar,QAT,32,10238849
Romania,ROU,32,16656518
Russian Federation,RUS,32,62607588
Rwanda,RWA,32,451638
Saint Helena,SHN,32,295034
Saint Kitts and Nevis,KNA,32,123489
Anguilla,AIA,32,19674
Saint Lucia,LCA,32,43366
Saint Vincent and the Grenadines,VCT,32,224561
San Marino,SMR,32,77811
Saudi Arabia,SAU,32,39057090
Senegal,SEN,32,850387
Serbia,SRB,32,4256719
Seychelles,SYC,32,143091
Sierra Leone,SLE,32,207229
India,IND,32,29555687
Singapore,SGP,32,16360918
Slovakia,SVK,32,6907557
Viet Nam,VNM,32,12731203
Slovenia,SVN,32,4714739
Somalia,SOM,32,12812
South Africa,ZAF,32,24116590
Zimbabwe,ZWE,32,86932
Spain,ESP,32,141896315
Sudan,SDN,32,729624
Suriname,SUR,32,663484
Swaziland,SWZ,32,6026
Sweden,SWE,32,66842625
Switzerland,CHE,32,30976098
Syria,SYR,32,101101
Thailand,THA,32,20006930
Togo,TGO,32,557092
Trinidad and Tobago,TTO,32,2959999
United Arab Emirates,ARE,32,45197912
Tunisia,TUN,32,3404728
Turkey,TUR,32,73633070
Turkmenistan,TKM,32,10271
Uganda,UGA,32,790691
Ukraine,UKR,32,6868693
TFYR of Macedonia,MKD,32,369064
Egypt,EGY,32,17155024
United Rep. of Tanzania,TZA,32,1858936
USA,USA,32,160673947
Burkina Faso,BFA,32,159569
Uruguay,URY,32,1080748
Uzbekistan,UZB,32,109353
Venezuela,VEN,32,320211
Samoa,WSM,32,37532
Yemen,YEM,32,367609
Zambia,ZMB,32,151901
Afghanistan,AFG,33,69354
Albania,ALB,33,293550
Antarctica,ATA,33,56682
Algeria,DZA,33,1766591
Andorra,AND,33,42499
Angola,AGO,33,5585631
Antigua and Barbuda,ATG,33,117734
Azerbaijan,AZE,33,520515
Argentina,ARG,33,4899579
Australia,AUS,33,82705379
Austria,AUT,33,27052678
Bahamas,BHS,33,820919
Bahrain,BHR,33,4404809
Bangladesh,BGD,33,2102856
Armenia,ARM,33,823353
Barbados,BRB,33,1053780
Belgium,BEL,33,427241341
Bermuda,BMU,33,181748
Bhutan,BTN,33,11784
Bolivia (Plurinational State of),BOL,33,83382
Bosnia Herzegovina,BIH,33,352817
Botswana,BWA,33,5537
Brazil,BRA,33,14226534
Belize,BLZ,33,132058
Br. Virgin Isds,VGB,33,36347
Brunei Darussalam,BRN,33,504343
Bulgaria,BGR,33,17360687
Myanmar,MMR,33,1528543
Burundi,BDI,33,8844
Belarus,BLR,33,906946
Cambodia,KHM,33,211191
Cameroon,CMR,33,468322
Canada,CAN,33,73360386
Cabo Verde,CPV,33,183437
Cayman Isds,CYM,33,20139
Central African Rep.,CAF,33,36781
Sri Lanka,LKA,33,2795481
Chad,TCD,33,24357
Chile,CHL,33,7221537
China,CHN,33,56792166
Colombia,COL,33,13362106
Congo,COG,33,391689
Dem. Rep. of the Congo,COD,33,1651738
Cook Isds,COK,33,3602
Costa Rica,CRI,33,704590
Croatia,HRV,33,11830997
Cuba,CUB,33,50350
Cyprus,CYP,33,9224455
Czechia,CZE,33,40218180
Benin,BEN,33,290435
Denmark,DNK,33,61497494
Dominica,DMA,33,19539
Dominican Rep.,DOM,33,187556
Ecuador,ECU,33,762169
El Salvador,SLV,33,961119
Equatorial Guinea,GNQ,33,70623
Ethiopia,ETH,33,905235
Eritrea,ERI,33,1778
Estonia,EST,33,8894752
Faeroe Isds,FRO,33,257362
Falkland Isds (Malvinas),FLK,33,245662
Fiji,FJI,33,291291
Finland,FIN,33,17425263
France,FRA,33,365988123
French Polynesia,PYF,33,46088
Djibouti,DJI,33,31624
Gabon,GAB,33,165705
Georgia,GEO,33,420173
Gambia,GMB,33,322126
Germany,DEU,33,673543899
Ghana,GHA,33,16970314
Gibraltar,GIB,33,4529656
Greece,GRC,33,25318889
Greenland,GRL,33,1528
Grenada,GRD,33,31842
Guam,GUM,33,121736
Guatemala,GTM,33,939722
Guinea,GIN,33,515876
Guyana,GUY,33,158369
Haiti,HTI,33,15931
Honduras,HND,33,34344
"China, Hong Kong SAR",HKG,33,101905147
Hungary,HUN,33,31174959
Iceland,ISL,33,4909670
Indonesia,IDN,33,37556755
Iran,IRN,33,942044
Iraq,IRQ,33,5575028
Ireland,IRL,33,846316350
Israel,ISR,33,14959200
Italy,ITA,33,153656648
Côte d'Ivoire,CIV,33,987310
Jamaica,JAM,33,754109
Japan,JPN,33,41217834
Kazakhstan,KAZ,33,536788
Jordan,JOR,33,8302310
Kenya,KEN,33,5127592
Rep. of Korea,KOR,33,37229032
Kuwait,KWT,33,13901189
Kyrgyzstan,KGZ,33,19253
Lao People's Dem. Rep.,LAO,33,10098
Lebanon,LBN,33,5834565
Latvia,LVA,33,4199227
Liberia,LBR,33,127825
Libya,LBY,33,3076149
Lithuania,LTU,33,7639450
Luxembourg,LUX,33,833448
"China, Macao SAR",MAC,33,572355
Madagascar,MDG,33,12603
Malawi,MWI,33,18454
Malaysia,MYS,33,21107128
Maldives,MDV,33,818747
Mali,MLI,33,120686
Malta,MLT,33,11175879
Mauritania,MRT,33,580407
Mauritius,MUS,33,1233146
Mexico,MEX,33,56598164
Mongolia,MNG,33,79740
Rep. of Moldova,MDA,33,124502
Montenegro,MNE,33,322203
Morocco,MAR,33,4743306
Mozambique,MOZ,33,58758
Oman,OMN,33,5014465
Namibia,NAM,33,457280
Nepal,NPL,33,392709
Netherlands,NLD,33,306282641
Curaçao,CUW,33,37164
Aruba,ABW,33,84351
Bonaire,BES,33,71976
New Caledonia,NCL,33,59237
New Zealand,NZL,33,11194766
Nicaragua,NIC,33,71373
Niger,NER,33,5556
Nigeria,NGA,33,38937853
Norway,NOR,33,39085033
N. Mariana Isds,MNP,33,19912
FS Micronesia,FSM,33,1649
Palau,PLW,33,35048
Pakistan,PAK,33,18978985
Panama,PAN,33,2692645
Papua New Guinea,PNG,33,80714
Paraguay,PRY,33,89291
Peru,PER,33,5639128
Philippines,PHL,33,14139106
Poland,POL,33,172193637
Portugal,PRT,33,26630628
Qatar,QAT,33,7711744
Romania,ROU,33,25631852
Russian Federation,RUS,33,44132207
Rwanda,RWA,33,211399
Saint Helena,SHN,33,114114
Saint Kitts and Nevis,KNA,33,46319
Anguilla,AIA,33,1023
Saint Lucia,LCA,33,102458
Saint Vincent and the Grenadines,VCT,33,121940
San Marino,SMR,33,61540
Saudi Arabia,SAU,33,71809089
Senegal,SEN,33,864544
Serbia,SRB,33,4283288
Seychelles,SYC,33,930562
Sierra Leone,SLE,33,1442993
India,IND,33,21928527
Singapore,SGP,33,34914773
Slovakia,SVK,33,11797906
Viet Nam,VNM,33,4411631
Slovenia,SVN,33,6436491
Somalia,SOM,33,2703
South Africa,ZAF,33,33151352
Zimbabwe,ZWE,33,76361
Spain,ESP,33,196034788
South Sudan,SSD,33,262848
Sudan,SDN,33,798882
Suriname,SUR,33,33325
Swaziland,SWZ,33,270041
Sweden,SWE,33,100046813
Switzerland,CHE,33,110903579
Syria,SYR,33,463293
Thailand,THA,33,44129658
Togo,TGO,33,315292
Tonga,TON,33,7873
Trinidad and Tobago,TTO,33,2202941
United Arab Emirates,ARE,33,147971719
Tunisia,TUN,33,4200566
Turkey,TUR,33,64458934
Turkmenistan,TKM,33,13594
Turks and Caicos Isds,TCA,33,18644
Uganda,UGA,33,1359491
Ukraine,UKR,33,12138410
TFYR of Macedonia,MKD,33,1747644
Egypt,EGY,33,20183103
United Rep. of Tanzania,TZA,33,1206200
USA,USA,33,433571105
Burkina Faso,BFA,33,859628
Uruguay,URY,33,8704112
Uzbekistan,UZB,33,48118
Venezuela,VEN,33,705090
Yemen,YEM,33,378073
Zambia,ZMB,33,205410
Afghanistan,AFG,34,24401
Albania,ALB,34,88520
Algeria,DZA,34,9391299
Andorra,AND,34,7876
Angola,AGO,34,4766003
Antigua and Barbuda,ATG,34,130692
Azerbaijan,AZE,34,1788641
Argentina,ARG,34,13317257
Australia,AUS,34,35945492
Austria,AUT,34,10456115
Bahamas,BHS,34,207117
Bahrain,BHR,34,2753259
Bangladesh,BGD,34,591298
Armenia,ARM,34,65108
Barbados,BRB,34,756576
Belgium,BEL,34,115741645
Bermuda,BMU,34,48858
Bhutan,BTN,34,1757
Bolivia (Plurinational State of),BOL,34,8836
Bosnia Herzegovina,BIH,34,149755
Botswana,BWA,34,268900
Brazil,BRA,34,6011695
Belize,BLZ,34,90838
Br. Virgin Isds,VGB,34,42284
Brunei Darussalam,BRN,34,329886
Bulgaria,BGR,34,3626900
Myanmar,MMR,34,58632
Burundi,BDI,34,17956
Belarus,BLR,34,244153
Cambodia,KHM,34,65234
Cameroon,CMR,34,23861
Canada,CAN,34,13599745
Cayman Isds,CYM,34,59268
Sri Lanka,LKA,34,1113761
Chad,TCD,34,9974
Chile,CHL,34,3448835
China,CHN,34,38753137
Colombia,COL,34,1963335
Congo,COG,34,1107089
Dem. Rep. of the Congo,COD,34,18138
Costa Rica,CRI,34,1307233
Croatia,HRV,34,2436455
Cuba,CUB,34,1993
Cyprus,CYP,34,3780167
Czechia,CZE,34,46182047
Benin,BEN,34,50177
Denmark,DNK,34,25936979
Dominica,DMA,34,37171
Dominican Rep.,DOM,34,389389
Ecuador,ECU,34,1207772
El Salvador,SLV,34,575198
Equatorial Guinea,GNQ,34,23142
Ethiopia,ETH,34,1532809
Eritrea,ERI,34,1146
Estonia,EST,34,1537380
Faeroe Isds,FRO,34,34571
Falkland Isds (Malvinas),FLK,34,179551
Fiji,FJI,34,25010
Finland,FIN,34,21418601
France,FRA,34,199089718
French Polynesia,PYF,34,5015
Gabon,GAB,34,49210
Georgia,GEO,34,316292
Gambia,GMB,34,387199
State of Palestine,PSE,34,2212
Germany,DEU,34,180045007
Ghana,GHA,34,2405347
Gibraltar,GIB,34,1207141
Greece,GRC,34,12517760
Greenland,GRL,34,3865
Grenada,GRD,34,247864
Guam,GUM,34,5421
Guatemala,GTM,34,232494
Guinea,GIN,34,40112
Guyana,GUY,34,400500
Haiti,HTI,34,15473
Honduras,HND,34,17748
"China, Hong Kong SAR",HKG,34,27804403
Hungary,HUN,34,9917462
Iceland,ISL,34,3215866
Indonesia,IDN,34,7539301
Iran,IRN,34,959669
Iraq,IRQ,34,2049710
Ireland,IRL,34,344079688
Israel,ISR,34,26132476
Italy,ITA,34,63761057
Côte d'Ivoire,CIV,34,404680
Jamaica,JAM,34,844913
Japan,JPN,34,33178463
Kazakhstan,KAZ,34,396070
Jordan,JOR,34,1800699
Kenya,KEN,34,2050877
Rep. of Korea,KOR,34,12379173
Kuwait,KWT,34,7545158
Kyrgyzstan,KGZ,34,16677
Lebanon,LBN,34,3503802
Latvia,LVA,34,2399490
Liberia,LBR,34,90546
Libya,LBY,34,2009137
Lithuania,LTU,34,3138262
Luxembourg,LUX,34,357969
"China, Macao SAR",MAC,34,210821
Madagascar,MDG,34,19035
Malawi,MWI,34,1699
Malaysia,MYS,34,7787313
Maldives,MDV,34,88982
Mali,MLI,34,6334
Malta,MLT,34,6742955
Mauritania,MRT,34,83073
Mauritius,MUS,34,722299
Mexico,MEX,34,11267065
Mongolia,MNG,34,33110
Rep. of Moldova,MDA,34,63571
Montenegro,MNE,34,18390
Montserrat,MSR,34,2981
Morocco,MAR,34,5113809
Mozambique,MOZ,34,7734
Oman,OMN,34,2539361
Namibia,NAM,34,16536
Nepal,NPL,34,80741
Netherlands,NLD,34,74858685
Curaçao,CUW,34,35579
Aruba,ABW,34,25081
Bonaire,BES,34,36359
New Caledonia,NCL,34,16517
New Zealand,NZL,34,3661526
Nicaragua,NIC,34,671015
Niger,NER,34,6495
Nigeria,NGA,34,15447568
Norway,NOR,34,27760773
Marshall Isds,MHL,34,5130
Pakistan,PAK,34,12072707
Panama,PAN,34,229177
Papua New Guinea,PNG,34,14866
Paraguay,PRY,34,70542
Peru,PER,34,911167
Philippines,PHL,34,12534819
Poland,POL,34,42297762
Portugal,PRT,34,25435735
Qatar,QAT,34,5478866
Romania,ROU,34,19673901
Russian Federation,RUS,34,42171088
Rwanda,RWA,34,155407
Saint Helena,SHN,34,276599
Saint Kitts and Nevis,KNA,34,18420
Anguilla,AIA,34,19727
Saint Lucia,LCA,34,225310
Saint Vincent and the Grenadines,VCT,34,18998
San Marino,SMR,34,3170
Sao Tome and Principe,STP,34,1618
Saudi Arabia,SAU,34,53620380
Senegal,SEN,34,128047
Serbia,SRB,34,1884828
Seychelles,SYC,34,373793
Sierra Leone,SLE,34,612094
India,IND,34,12136210
Singapore,SGP,34,18080836
Slovakia,SVK,34,5582096
Viet Nam,VNM,34,2727386
Slovenia,SVN,34,2369768
South Africa,ZAF,34,21647775
Zimbabwe,ZWE,34,46795
Spain,ESP,34,87960430
Sudan,SDN,34,224289
Suriname,SUR,34,9736
Swaziland,SWZ,34,6723
Sweden,SWE,34,73592601
Switzerland,CHE,34,15667086
Tajikistan,TJK,34,4798
Thailand,THA,34,8755856
Trinidad and Tobago,TTO,34,1116465
United Arab Emirates,ARE,34,46095560
Tunisia,TUN,34,1314603
Turkey,TUR,34,38207435
Turkmenistan,TKM,34,53540
Turks and Caicos Isds,TCA,34,24022
Uganda,UGA,34,305721
Ukraine,UKR,34,8240958
TFYR of Macedonia,MKD,34,31867
Egypt,EGY,34,10446924
United Rep. of Tanzania,TZA,34,250794
USA,USA,34,128760756
Burkina Faso,BFA,34,8568
Uruguay,URY,34,233880
Uzbekistan,UZB,34,89672
Venezuela,VEN,34,49450
Yemen,YEM,34,100752
Zambia,ZMB,34,76082
Albania,ALB,35,33882
Algeria,DZA,35,227933
Angola,AGO,35,23039
Antigua and Barbuda,ATG,35,1050
Azerbaijan,AZE,35,75629
Argentina,ARG,35,662124
Australia,AUS,35,5838206
Austria,AUT,35,2976881
Bahamas,BHS,35,70623
Bahrain,BHR,35,125679
Bangladesh,BGD,35,332801
Armenia,ARM,35,1818
Barbados,BRB,35,22449
Belgium,BEL,35,9308952
Bolivia (Plurinational State of),BOL,35,12867
Bosnia Herzegovina,BIH,35,26418
Botswana,BWA,35,7786
Brazil,BRA,35,4798683
Belize,BLZ,35,3493
Solomon Isds,SLB,35,7679
Br. Virgin Isds,VGB,35,12199
Brunei Darussalam,BRN,35,33055
Bulgaria,BGR,35,643043
Myanmar,MMR,35,24281
Belarus,BLR,35,342457
Cambodia,KHM,35,4703
Canada,CAN,35,5715778
Cabo Verde,CPV,35,2083
Cayman Isds,CYM,35,3364
Sri Lanka,LKA,35,292915
Chile,CHL,35,1861697
China,CHN,35,15537879
Colombia,COL,35,1487930
Congo,COG,35,173190
Dem. Rep. of the Congo,COD,35,3046
Costa Rica,CRI,35,149763
Croatia,HRV,35,445505
Cuba,CUB,35,461294
Cyprus,CYP,35,443322
Czechia,CZE,35,5740113
Denmark,DNK,35,4215761
Dominica,DMA,35,1161
Dominican Rep.,DOM,35,43945
Ecuador,ECU,35,345702
Equatorial Guinea,GNQ,35,2558
Ethiopia,ETH,35,235163
Estonia,EST,35,1264251
Falkland Isds (Malvinas),FLK,35,36774
Fiji,FJI,35,1080
Finland,FIN,35,1735153
France,FRA,35,31341037
French Polynesia,PYF,35,5561
Gabon,GAB,35,23250
Georgia,GEO,35,25354
Gambia,GMB,35,23755
Germany,DEU,35,59175020
Ghana,GHA,35,2442588
Gibraltar,GIB,35,93126
Greece,GRC,35,1724544
Greenland,GRL,35,4711
