Commodity Code,Commodity Name,UK Export Value,Largest Importer ISO,Largest Importer Name,Largest Importer Value,Largest Exporter ISO,Largest Exporter Name,Largest Exporter Value
68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",1077826048,USA,USA,1466143720,CHN,China,1466143720
69,Ceramic products,550352200,USA,USA,2393973952,CHN,China,2393973952
70,Glass and glassware,1177871900,USA,USA,2520912803,CHN,China,2520912803
71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",28465614495,CHN,China,40014446049,HKG,"China, Hong Kong SAR",40014446049
72,Iron and steel,5331723823,KOR,Rep. of Korea,6068663805,CHN,China,6068663805
73,Articles of iron or steel,5278484484,USA,USA,8977151869,CHN,China,8977151869
74,Copper and articles thereof,1659502103,CHN,China,7034814529,CHL,Chile,7034814529
75,Nickel and articles thereof,1077335333,NLD,Netherlands,886813744,RUS,Russian Federation,886813744
76,Aluminium and articles thereof,2676737803,USA,USA,6981348185,CAN,Canada,6981348185
78,Lead and articles thereof,522117978,USA,USA,536958280,CAN,Canada,536958280
79,Zinc and articles thereof,125615702,USA,USA,1127583984,CAN,Canada,1127583984
80,Tin and articles thereof,25236717,SGP,Singapore,492967484,IDN,Indonesia,492967484
81,Other base metals; cermets; articles thereof,799102903,GBR,United Kingdom,401377234,USA,USA,401377234
82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",993108331,USA,USA,3165246998,CHN,China,3165246998
83,Miscellaneous articles of base metal,1284973683,USA,USA,3201007225,CHN,China,3201007225
84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",60051531379,USA,USA,79462404249,CHN,China,79462404249
85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",26737187850,CHN,China,166649165875,HKG,"China, Hong Kong SAR",166649165875
86,"Railway or tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",364607466,USA,USA,3071871470,MEX,Mexico,3071871470
87,"Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof",51124208626,USA,USA,73676226446,MEX,Mexico,73676226446
88,"Aircraft, spacecraft, and parts thereof",20510506682,DEU,Germany,15624879268,FRA,France,15624879268
89,"Ships, boats and floating structures",1942917054,MHL,Marshall Isds,7722131491,KOR,Rep. of Korea,7722131491
90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",17009030654,CHN,China,16619943611,KOR,Rep. of Korea,16619943611
91,Clocks and watches and parts thereof,982264584,HKG,"China, Hong Kong SAR",2517441646,CHN,China,2517441646
92,Musical instruments; parts and accessories of such articles,118173416,USA,USA,487069892,CHN,China,487069892
94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, not elsewhere specified or included; illuminated signs, illuminated name-plates and the like; prefabricated buildings",3574204024,USA,USA,27392905896,CHN,China,27392905896
95,"Toys, games and sports requisites; parts and accessories thereof",2026019170,USA,USA,14769534898,CHN,China,14769534898
96,Miscellaneous manufactured articles,755943975,USA,USA,3279727168,CHN,China,3279727168
97,"Works of art, collectors' pieces and antiques",7159880237,USA,USA,4168050680,GBR,United Kingdom,4168050680
99,Commodities not specified according to kind,6806047392,,"Areas, nes",149586066741,ARE,United Arab Emirates,149586066741
